Price,Brand,Model,Year,Color,Fuel_Type,Vehicle_History,Palestinian_Licence,Transmission_Type,Electric_Windows,Engine_Capacity,Kilometers_Driven,Seats,Installment_Payment_Method,Listed_For,Previous_Owners,Radio,Air_Conditioner,Central_Lock,Airbag,Magnesium_Rims,Alert_System,Leather_Seats,Sunroof,Kilometers_Driven_ZScore,Previous_Owners_Ranges,Previous_Owners_Labels
82000,فورد,كونيكت,2018,عدة الوان ,ديزل ,خصوصي ,1,عادي ,1,1500,30000.0,5,0,للبيع أو التبديل ,1,1,1,1,1,0,1,1,0,-0.8707593558622369,[0-2],1
25000,بيجو,307,2007,أزرق ,بنزين ,خصوصي ,1,نصف اوتوماتيك ,1,1600,164851.0,5,1,للبيع فقط ,4,0,0,0,0,0,0,0,0,-0.14660444197732841,[3-4],2
9000,سوبارو,نملة,1983,أبيض عاجي ,بنزين ,خصوصي ,1,عادي ,0,1600,147000.0,5,0,للبيع أو التبديل ,5,1,0,0,0,1,0,0,0,-0.24246497966529143,[5+),3
68000,فولكسفاجن,بولو,2018,أبيض ,بنزين ,خصوصي ,1,اوتوماتيك ,1,1200,52000.0,5,0,للبيع فقط ,0,1,1,1,1,1,1,1,0,-0.7526185329875975,[0-2],1
35500,هونداي,كليك,2007,أبيض عاجي ,بنزين ,خصوصي ,1,اوتوماتيك ,1,1400,164851.0,5,1,للبيع فقط ,1,1,1,1,1,1,1,1,0,-0.14660444197732841,[0-2],1
55000,اوبل,كورسا,2017,بترولي ,بنزين ,خصوصي ,1,اوتوماتيك ,1,1400,61819.0,5,0,للبيع فقط ,0,0,1,1,1,1,0,0,0,-0.6998901357236846,[0-2],1
45000,هونداي,i25,2012,سكني ,بنزين ,خصوصي ,1,عادي ,1,1600,113335.0,5,0,للبيع فقط ,3,1,1,1,1,1,1,0,1,-0.42324728885050655,[3-4],2
37000,هونداي,فيرنا,2006,فضي ,بنزين ,خصوصي ,1,اوتوماتيك ,1,1400,135000.0,5,0,للبيع فقط ,5,1,1,1,1,1,1,0,0,-0.3069054285060038,[5+),3
45000,مرسيدس,412,2000,أبيض عاجي ,ديزل ,عمومي ,1,عادي ,1,2500,520715.0,10,1,للبيع أو التبديل ,3,1,1,1,1,0,1,1,0,1.7643985485436098,[3-4],2
31000,شاحنة,داف,2008,أبيض ,ديزل ,تجاري ,0,نصف اوتوماتيك ,1,6000,100000.0,3,1,للبيع أو التبديل ,1,0,1,1,1,0,0,0,1,-0.49485673762474813,[0-2],1
51000,كيا,برايد,2014,فضي ,بنزين ,خصوصي ,1,نصف اوتوماتيك ,1,1400,92728.0,5,1,للبيع أو التبديل ,0,1,0,1,1,1,1,1,0,-0.5339076496222198,[0-2],1
58000,سكودا,فابيا,2015,أبيض ,بنزين ,خصوصي ,1,اوتوماتيك ,1,1200,60000.0,5,0,للبيع أو التبديل ,2,1,1,1,1,1,1,0,0,-0.709658233760456,[0-2],1
67000,مرسيدس,E270,2003,سكني ,ديزل ,خصوصي ,1,اوتوماتيك ,1,2700,290000.0,5,1,للبيع أو التبديل ,7,0,1,1,0,0,0,1,1,0.5254503690198641,[5+),3
42000,سكودا,اوكتافيا,2011,زيتي ,بنزين ,تأجير ,1,اوتوماتيك ,1,1800,153000.0,5,0,للبيع فقط ,1,1,1,1,1,0,1,1,0,-0.21024475524493527,[0-2],1
66999,هونداي,الانترا,2013,فيراني ,بنزين ,خصوصي ,1,اوتوماتيك ,1,1600,103032.0,5,0,للبيع أو التبديل ,1,1,1,1,1,1,1,1,1,-0.4785747842176615,[0-2],1
23000,بيجو,206,2003,أزرق ,بنزين ,خصوصي ,1,عادي ,1,1400,130000.0,5,0,للبيع أو التبديل ,2,1,1,1,1,1,1,0,0,-0.3337556155229673,[0-2],1
38000,كيا,مورننغ,2016,سكني ,بنزين ,خصوصي ,1,اوتوماتيك ,1,1000,41000.0,5,0,للبيع فقط ,0,1,1,0,0,0,1,0,0,-0.8116889444249172,[0-2],1
42000,اوبل,كورسا,2014,أسود ميتالك ,بنزين ,خصوصي ,1,عادي ,1,1400,75000.0,5,0,للبيع فقط ,0,1,1,1,1,0,0,1,0,-0.6291076727095656,[0-2],1
140000,فولكسفاجن,GTI,2015,عدة الوان ,بنزين ,خصوصي ,1,اوتوماتيك ,1,2000,65000.0,5,1,للبيع فقط ,0,1,1,1,1,1,1,0,1,-0.6828080467434925,[0-2],1
95500,هونداي,توسان,2018,سكني ,ديزل ,خصوصي ,1,اوتوماتيك ,1,2000,56000.0,5,0,للبيع فقط ,0,1,1,1,1,1,1,1,0,-0.7311383833740268,[0-2],1
14000,ميتسوبيشي,لانسر,1991,أبيض عاجي ,بنزين ,خصوصي ,1,عادي ,1,1600,329702.0,5,1,للبيع فقط ,7,1,0,1,0,1,0,0,0,0.7386515940093609,[5+),3
78000,كيا,سيراتو,2017,سكني ,ديزل ,خصوصي ,1,اوتوماتيك ,1,1600,135838.0,5,0,للبيع أو التبديل ,0,1,1,1,1,1,1,1,0,-0.3024053371619607,[0-2],1
70000,بي,ام,2007,سكني ,بنزين ,خصوصي ,1,اوتوماتيك ,1,2000,300000.0,5,1,للبيع أو التبديل ,1,1,1,1,1,1,1,1,1,0.579150743053791,[0-2],1
5000,فولكسفاجن,بورا,2005,ذهبي ,ديزل ,خصوصي ,0,عادي ,1,1900,407516.0,5,0,للبيع فقط ,1,1,1,1,1,1,1,1,0,1.1565156845169602,[0-2],1
63000,هونداي,اكسنت,2018,أبيض ,بنزين ,خصوصي ,1,اوتوماتيك ,1,1400,26000.0,5,0,للبيع أو التبديل ,0,1,1,1,1,1,1,1,0,-0.8922395054758077,[0-2],1
18000,هونداي,H1,2005,أبيض ,ديزل ,عمومي ,1,عادي ,1,2500,407516.0,8,1,للبيع أو التبديل ,1,1,1,0,1,1,1,0,0,1.1565156845169602,[0-2],1
35000,فولكسفاجن,جولف,2002,كحلي ,بنزين ,خصوصي ,1,عادي ,1,2000,216367.0,5,1,للبيع فقط ,2,1,1,1,1,1,1,1,1,0.1300384048958497,[0-2],1
50000,فورد,فيستا,2015,بترولي ,بنزين ,خصوصي ,1,عادي ,1,1250,65000.0,5,1,للبيع فقط ,0,0,0,0,0,0,0,0,0,-0.6828080467434925,[0-2],1
50000,سيت,ابيزا,2015,فضي ,بنزين ,خصوصي ,1,عادي ,1,1400,109000.0,5,0,للبيع فقط ,0,1,1,1,1,0,1,0,0,-0.44652640099421387,[0-2],1
77000,سيت,ليون,2016,سكني ,بنزين ,خصوصي ,1,عادي ,1,1200,55000.0,5,0,للبيع فقط ,0,1,1,1,1,1,1,1,1,-0.7365084207774194,[0-2],1
11000,اوبل,كاديت,1986,أبيض ,بنزين ,خصوصي ,1,عادي ,0,1444,555555.0,5,0,للبيع فقط ,9,0,0,0,0,1,0,0,0,1.9514906516778112,[5+),3
127999,هونداي,توسان,2018,فيراني ,ديزل ,خصوصي ,1,اوتوماتيك ,1,2000,29000.0,5,0,للبيع فقط ,0,1,1,1,1,1,1,1,1,-0.8761293932656296,[0-2],1
60000,لاندروفر,ديفندر,2004,أخضر ,ديزل ,حكومي ,1,عادي ,0,2500,200000.0,2,1,للبيع أو التبديل ,3,1,0,0,0,0,0,1,0,0.04214700271452145,[3-4],2
35000,هونداي,افانتي,2006,أزرق ,بنزين ,خصوصي ,1,اوتوماتيك ,1,1600,175154.0,5,0,للبيع أو التبديل ,1,1,1,1,1,1,1,1,0,-0.09127694661017348,[0-2],1
